dataset,group,group_color,modality,dotpath,unit,value
NSD,Physiology,#7030A0,ECG,physiology.ecg.per_subject_h,h,
NSD,Physiology,#7030A0,Resp.,physiology.respiration.per_subject_h,h,
NSD,Physiology,#7030A0,PPG,physiology.plethysmograph.per_subject_h,h,
NSD,Physiology,#7030A0,EDA,physiology.eda.per_subject_h,h,
NSD,Physiology,#7030A0,Eye,physiology.eye_tracking.per_subject_h,h,3.0
NNDb,Brain recordings,#4472C4,fMRI,neuroimaging.fmri.per_subject_h,h,1.87
NNDb,Brain recordings,#4472C4,EEG,neuroimaging.eeg.per_subject_h,h,
NNDb,Brain recordings,#4472C4,MEG,neuroimaging.meg.per_subject_h,h,
NNDb,Brain recordings,#4472C4,iEEG,neuroimaging.ieeg.per_subject_h,h,
NNDb,Brain recordings,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.per_subject_h,h,
NNDb,Tasks,#538135,Images,tasks.images.per_subject_unique,#img,
NNDb,Tasks,#538135,Video,tasks.video.per_subject_unique,h,1.87
NNDb,Tasks,#538135,Audio,tasks.audio.per_subject_unique,h,1.87
NNDb,Tasks,#538135,Speech,tasks.speech_listening.per_subject_unique,h,1.87
NNDb,Tasks,#538135,Text,tasks.text_reading.per_subject_unique,h,
NNDb,Tasks,#538135,Rest,tasks.resting_state.per_subject_h,h,
NNDb,Tasks,#538135,Controlled,tasks.controlled.per_subject_h,h,
NNDb,Tasks,#538135,Games,tasks.game.per_subject_h,h,
NNDb,Tasks,#538135,Contrasts,tasks.contrasts.per_subject,#,
NNDb,Physiology,#7030A0,ECG,physiology.ecg.per_subject_h,h,
NNDb,Physiology,#7030A0,Resp.,physiology.respiration.per_subject_h,h,
NNDb,Physiology,#7030A0,PPG,physiology.plethysmograph.per_subject_h,h,
NNDb,Physiology,#7030A0,EDA,physiology.eda.per_subject_h,h,
NNDb,Physiology,#7030A0,Eye,physiology.eye_tracking.per_subject_h,h,
OmniMouse,Brain recordings,#4472C4,fMRI,neuroimaging.fmri.per_subject_h,h,
OmniMouse,Brain recordings,#4472C4,EEG,neuroimaging.eeg.per_subject_h,h,
OmniMouse,Brain recordings,#4472C4,MEG,neuroimaging.meg.per_subject_h,h,
OmniMouse,Brain recordings,#4472C4,iEEG,neuroimaging.ieeg.per_subject_h,h,
OmniMouse,Brain recordings,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.per_subject_h,h,7.6
OmniMouse,Tasks,#538135,Images,tasks.images.per_subject_unique,#img,10418.0
OmniMouse,Tasks,#538135,Video,tasks.video.per_subject_unique,h,5.0
OmniMouse,Tasks,#538135,Audio,tasks.audio.per_subject_unique,h,
OmniMouse,Tasks,#538135,Speech,tasks.speech_listening.per_subject_unique,h,
OmniMouse,Tasks,#538135,Text,tasks.text_reading.per_subject_unique,h,
OmniMouse,Tasks,#538135,Rest,tasks.resting_state.per_subject_h,h,
OmniMouse,Tasks,#538135,Controlled,tasks.controlled.per_subject_h,h,
OmniMouse,Tasks,#538135,Games,tasks.game.per_subject_h,h,
OmniMouse,Tasks,#538135,Contrasts,tasks.contrasts.per_subject,#,
OmniMouse,Physiology,#7030A0,ECG,physiology.ecg.per_subject_h,h,
OmniMouse,Physiology,#7030A0,Resp.,physiology.respiration.per_subject_h,h,
OmniMouse,Physiology,#7030A0,PPG,physiology.plethysmograph.per_subject_h,h,
OmniMouse,Physiology,#7030A0,EDA,physiology.eda.per_subject_h,h,
OmniMouse,Physiology,#7030A0,Eye,physiology.eye_tracking.per_subject_h,h,7.6
Sherlock MEG,Brain recordings,#4472C4,fMRI,neuroimaging.fmri.per_subject_h,h,
Sherlock MEG,Brain recordings,#4472C4,EEG,neuroimaging.eeg.per_subject_h,h,
Sherlock MEG,Brain recordings,#4472C4,MEG,neuroimaging.meg.per_subject_h,h,10.0
Sherlock MEG,Brain recordings,#4472C4,iEEG,neuroimaging.ieeg.per_subject_h,h,
Sherlock MEG,Brain recordings,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.per_subject_h,h,
Sherlock MEG,Tasks,#538135,Images,tasks.images.per_subject_unique,#img,
Sherlock MEG,Tasks,#538135,Video,tasks.video.per_subject_unique,h,
Sherlock MEG,Tasks,#538135,Audio,tasks.audio.per_subject_unique,h,
Sherlock MEG,Tasks,#538135,Speech,tasks.speech_listening.per_subject_unique,h,10.0
Sherlock MEG,Tasks,#538135,Text,tasks.text_reading.per_subject_unique,h,
Sherlock MEG,Tasks,#538135,Rest,tasks.resting_state.per_subject_h,h,
Sherlock MEG,Tasks,#538135,Controlled,tasks.controlled.per_subject_h,h,
Sherlock MEG,Tasks,#538135,Games,tasks.game.per_subject_h,h,
Sherlock MEG,Tasks,#538135,Contrasts,tasks.contrasts.per_subject,#,
Sherlock MEG,Physiology,#7030A0,ECG,physiology.ecg.per_subject_h,h,
Sherlock MEG,Physiology,#7030A0,Resp.,physiology.respiration.per_subject_h,h,
Sherlock MEG,Physiology,#7030A0,PPG,physiology.plethysmograph.per_subject_h,h,
Sherlock MEG,Physiology,#7030A0,EDA,physiology.eda.per_subject_h,h,
Sherlock MEG,Physiology,#7030A0,Eye,physiology.eye_tracking.per_subject_h,h,10.0
Spacetop,Brain recordings,#4472C4,fMRI,neuroimaging.fmri.per_subject_h,h,6.0
Spacetop,Brain recordings,#4472C4,EEG,neuroimaging.eeg.per_subject_h,h,
Spacetop,Brain recordings,#4472C4,MEG,neuroimaging.meg.per_subject_h,h,
Spacetop,Brain recordings,#4472C4,iEEG,neuroimaging.ieeg.per_subject_h,h,
Spacetop,Brain recordings,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.per_subject_h,h,
Spacetop,Tasks,#538135,Images,tasks.images.per_subject_unique,#img,
Spacetop,Tasks,#538135,Video,tasks.video.per_subject_unique,h,1.44
Spacetop,Tasks,#538135,Audio,tasks.audio.per_subject_unique,h,1.58
Spacetop,Tasks,#538135,Speech,tasks.speech_listening.per_subject_unique,h,1.58
Spacetop,Tasks,#538135,Text,tasks.text_reading.per_subject_unique,h,0.2
Spacetop,Tasks,#538135,Rest,tasks.resting_state.per_subject_h,h,
Spacetop,Tasks,#538135,Controlled,tasks.controlled.per_subject_h,h,2.91
Spacetop,Tasks,#538135,Games,tasks.game.per_subject_h,h,
Spacetop,Tasks,#538135,Contrasts,tasks.contrasts.per_subject,#,12.0
Spacetop,Physiology,#7030A0,ECG,physiology.ecg.per_subject_h,h,
Spacetop,Physiology,#7030A0,Resp.,physiology.respiration.per_subject_h,h,
Spacetop,Physiology,#7030A0,PPG,physiology.plethysmograph.per_subject_h,h,5.8
Spacetop,Physiology,#7030A0,EDA,physiology.eda.per_subject_h,h,5.8
Spacetop,Physiology,#7030A0,Eye,physiology.eye_tracking.per_subject_h,h,
UK Biobank,Brain recordings,#4472C4,fMRI,neuroimaging.fmri.per_subject_h,h,0.167
UK Biobank,Brain recordings,#4472C4,EEG,neuroimaging.eeg.per_subject_h,h,
UK Biobank,Brain recordings,#4472C4,MEG,neuroimaging.meg.per_subject_h,h,
UK Biobank,Brain recordings,#4472C4,iEEG,neuroimaging.ieeg.per_subject_h,h,
UK Biobank,Brain recordings,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.per_subject_h,h,
UK Biobank,Tasks,#538135,Images,tasks.images.per_subject_unique,#img,
UK Biobank,Tasks,#538135,Video,tasks.video.per_subject_unique,h,
UK Biobank,Tasks,#538135,Audio,tasks.audio.per_subject_unique,h,
UK Biobank,Tasks,#538135,Speech,tasks.speech_listening.per_subject_unique,h,
UK Biobank,Tasks,#538135,Text,tasks.text_reading.per_subject_unique,h,
UK Biobank,Tasks,#538135,Rest,tasks.resting_state.per_subject_h,h,0.1
UK Biobank,Tasks,#538135,Controlled,tasks.controlled.per_subject_h,h,0.067
UK Biobank,Tasks,#538135,Games,tasks.game.per_subject_h,h,
UK Biobank,Tasks,#538135,Contrasts,tasks.contrasts.per_subject,#,1.0
UK Biobank,Physiology,#7030A0,ECG,physiology.ecg.per_subject_h,h,
UK Biobank,Physiology,#7030A0,Resp.,physiology.respiration.per_subject_h,h,
UK Biobank,Physiology,#7030A0,PPG,physiology.plethysmograph.per_subject_h,h,
UK Biobank,Physiology,#7030A0,EDA,physiology.eda.per_subject_h,h,
UK Biobank,Physiology,#7030A0,Eye,physiology.eye_tracking.per_subject_h,h,
CNeuroMod,Brain recordings,#4472C4,fMRI,neuroimaging.fmri.per_subject_h,h,129.31
CNeuroMod,Brain recordings,#4472C4,EEG,neuroimaging.eeg.per_subject_h,h,
CNeuroMod,Brain recordings,#4472C4,MEG,neuroimaging.meg.per_subject_h,h,
CNeuroMod,Brain recordings,#4472C4,iEEG,neuroimaging.ieeg.per_subject_h,h,
CNeuroMod,Brain recordings,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.per_subject_h,h,
CNeuroMod,Tasks,#538135,Images,tasks.images.per_subject_unique,#img,4320.0
CNeuroMod,Tasks,#538135,Video,tasks.video.per_subject_unique,h,97.1
CNeuroMod,Tasks,#538135,Audio,tasks.audio.per_subject_unique,h,97.1
CNeuroMod,Tasks,#538135,Speech,tasks.speech_listening.per_subject_unique,h,72.3
CNeuroMod,Tasks,#538135,Text,tasks.text_reading.per_subject_unique,h,1.17
CNeuroMod,Tasks,#538135,Rest,tasks.resting_state.per_subject_h,h,1.25
CNeuroMod,Tasks,#538135,Controlled,tasks.controlled.per_subject_h,h,27.09
CNeuroMod,Tasks,#538135,Games,tasks.game.per_subject_h,h,24.8
CNeuroMod,Tasks,#538135,Contrasts,tasks.contrasts.per_subject,#,58.0
CNeuroMod,Physiology,#7030A0,ECG,physiology.ecg.per_subject_h,h,100.97
CNeuroMod,Physiology,#7030A0,Resp.,physiology.respiration.per_subject_h,h,100.97
CNeuroMod,Physiology,#7030A0,PPG,physiology.plethysmograph.per_subject_h,h,100.97
CNeuroMod,Physiology,#7030A0,EDA,physiology.eda.per_subject_h,h,100.97
CNeuroMod,Physiology,#7030A0,Eye,physiology.eye_tracking.per_subject_h,h,22.0
